scenario,kind,param,factor,run,ranking,top1_kept,top3_set_kept,top3_order_kept,mean_abs_rank_change,max_abs_rank_change,kendall_tau,spearman,per_insurer_change
priority_injury,monte_carlo,all,0.0,140,SHINHAN|KAKAOPAY|HYUNDAI|KB|DB|MERITZ|SAMSUNG,True,True,True,0.2857142857142857,1,0.9047619047619048,0.9642857142857143,"{""SHINHAN"": 0, ""KAKAOPAY"": 0, ""HYUNDAI"": 0, ""KB"": 0, ""MERITZ"": 1, ""DB"": -1, ""SAMSUNG"": 0}"
priority_injury,monte_carlo,all,0.0,141,SHINHAN|KAKAOPAY|HYUNDAI|KB|MERITZ|DB|SAMSUNG,True,True,True,0.0,0,1.0,1.0,"{""SHINHAN"": 0, ""KAKAOPAY"": 0, ""HYUNDAI"": 0, ""KB"": 0, ""MERITZ"": 0, ""DB"": 0, ""SAMSUNG"": 0}"
priority_injury,monte_carlo,all,0.0,142,SHINHAN|KAKAOPAY|HYUNDAI|KB|DB|MERITZ|SAMSUNG,True,True,True,0.2857142857142857,1,0.9047619047619048,0.9642857142857143,"{""SHINHAN"": 0, ""KAKAOPAY"": 0, ""HYUNDAI"": 0, ""KB"": 0, ""MERITZ"": 1, ""DB"": -1, ""SAMSUNG"": 0}"
priority_injury,monte_carlo,all,0.0,143,SHINHAN|KAKAOPAY|HYUNDAI|KB|MERITZ|DB|SAMSUNG,True,True,True,0.0,0,1.0,1.0,"{""SHINHAN"": 0, ""KAKAOPAY"": 0, ""HYUNDAI"": 0, ""KB"": 0, ""MERITZ"": 0, ""DB"": 0, ""SAMSUNG"": 0}"
priority_injury,monte_carlo,all,0.0,144,SHINHAN|KAKAOPAY|HYUNDAI|KB|MERITZ|DB|SAMSUNG,True,True,True,0.0,0,1.0,1.0,"{""SHINHAN"": 0, ""KAKAOPAY"": 0, ""HYUNDAI"": 0, ""KB"": 0, ""MERITZ"": 0, ""DB"": 0, ""SAMSUNG"": 0}"
priority_injury,monte_carlo,all,0.0,145,SHINHAN|KAKAOPAY|HYUNDAI|MERITZ|KB|DB|SAMSUNG,True,True,True,0.2857142857142857,1,0.9047619047619048,0.9642857142857143,"{""SHINHAN"": 0, ""KAKAOPAY"": 0, ""HYUNDAI"": 0, ""KB"": 1, ""MERITZ"": -1, ""DB"": 0, ""SAMSUNG"": 0}"
priority_injury,monte_carlo,all,0.0,146,SHINHAN|KAKAOPAY|HYUNDAI|KB|MERITZ|DB|SAMSUNG,True,True,True,0.0,0,1.0,1.0,"{""SHINHAN"": 0, ""KAKAOPAY"": 0, ""HYUNDAI"": 0, ""KB"": 0, ""MERITZ"": 0, ""DB"": 0, ""SAMSUNG"": 0}"
priority_injury,monte_carlo,all,0.0,147,SHINHAN|KAKAOPAY|HYUNDAI|KB|MERITZ|DB|SAMSUNG,True,True,True,0.0,0,1.0,1.0,"{""SHINHAN"": 0, ""KAKAOPAY"": 0, ""HYUNDAI"": 0, ""KB"": 0, ""MERITZ"": 0, ""DB"": 0, ""SAMSUNG"": 0}"
priority_injury,monte_carlo,all,0.0,148,SHINHAN|KAKAOPAY|HYUNDAI|KB|DB|MERITZ|SAMSUNG,True,True,True,0.2857142857142857,1,0.9047619047619048,0.9642857142857143,"{""SHINHAN"": 0, ""KAKAOPAY"": 0, ""HYUNDAI"": 0, ""KB"": 0, ""MERITZ"": 1, ""DB"": -1, ""SAMSUNG"": 0}"
priority_injury,monte_carlo,all,0.0,149,SHINHAN|KAKAOPAY|HYUNDAI|KB|MERITZ|DB|SAMSUNG,True,True,True,0.0,0,1.0,1.0,"{""SHINHAN"": 0, ""KAKAOPAY"": 0, ""HYUNDAI"": 0, ""KB"": 0, ""MERITZ"": 0, ""DB"": 0, ""SAMSUNG"": 0}"
priority_injury,monte_carlo,all,0.0,150,SHINHAN|KAKAOPAY|HYUNDAI|KB|MERITZ|DB|SAMSUNG,True,True,True,0.0,0,1.0,1.0,"{""SHINHAN"": 0, ""KAKAOPAY"": 0, ""HYUNDAI"": 0, ""KB"": 0, ""MERITZ"": 0, ""DB"": 0, ""SAMSUNG"": 0}"
priority_injury,monte_carlo,all,0.0,151,SHINHAN|KAKAOPAY|HYUNDAI|KB|MERITZ|DB|SAMSUNG,True,True,True,0.0,0,1.0,1.0,"{""SHINHAN"": 0, ""KAKAOPAY"": 0, ""HYUNDAI"": 0, ""KB"": 0, ""MERITZ"": 0, ""DB"": 0, ""SAMSUNG"": 0}"
priority_injury,monte_carlo,all,0.0,152,SHINHAN|KAKAOPAY|HYUNDAI|KB|MERITZ|DB|SAMSUNG,True,True,True,0.0,0,1.0,1.0,"{""SHINHAN"": 0, ""KAKAOPAY"": 0, ""HYUNDAI"": 0, ""KB"": 0, ""MERITZ"": 0, ""DB"": 0, ""SAMSUNG"": 0}"
priority_injury,monte_carlo,all,0.0,153,SHINHAN|KAKAOPAY|HYUNDAI|KB|MERITZ|DB|SAMSUNG,True,True,True,0.0,0,1.0,1.0,"{""SHINHAN"": 0, ""KAKAOPAY"": 0, ""HYUNDAI"": 0, ""KB"": 0, ""MERITZ"": 0, ""DB"": 0, ""SAMSUNG"": 0}"
priority_injury,monte_carlo,all,0.0,154,SHINHAN|KAKAOPAY|HYUNDAI|KB|MERITZ|DB|SAMSUNG,True,True,True,0.0,0,1.0,1.0,"{""SHINHAN"": 0, ""KAKAOPAY"": 0, ""HYUNDAI"": 0, ""KB"": 0, ""MERITZ"": 0, ""DB"": 0, ""SAMSUNG"": 0}"
priority_injury,monte_carlo,all,0.0,155,SHINHAN|KAKAOPAY|HYUNDAI|KB|DB|MERITZ|SAMSUNG,True,True,True,0.2857142857142857,1,0.9047619047619048,0.9642857142857143,"{""SHINHAN"": 0, ""KAKAOPAY"": 0, ""HYUNDAI"": 0, ""KB"": 0, ""MERITZ"": 1, ""DB"": -1, ""SAMSUNG"": 0}"
